Rok;Miesi¹c;Zarobki;Wydatki;Liczba osób_<500;Œredni wiek_<500;Liczba wypadków_<500;Liczba osób_500-700;Œredni wiek_500-700;Liczba wypadków_500-700;Liczba osób_>700;Œredni wiek_>700;Liczba wypadków_>700;Liczba wypadków mê¿czyzn;Liczba wypadków kobiet
1;1;479546;4200;508;64;0;404;59;0;54;40;0;0;0
1;2;0;4200;493;63;0;391;58;0;55;40;0;0;0
1;3;0;4200;477;62;0;381;57;0;54;40;0;0;0
1;4;0;4200;464;61;0;373;56;0;53;40;0;0;0
1;5;0;4200;445;60;0;371;56;0;53;39;0;0;0
1;6;0;4200;439;59;0;362;55;0;53;38;0;0;0
1;7;0;4200;435;58;0;354;54;0;51;36;0;0;0
1;8;0;13755;423;58;1;353;54;0;52;37;0;0;1
1;9;0;4200;419;57;0;346;53;0;52;37;0;0;0
1;10;0;4200;413;57;0;341;53;0;51;37;0;0;0
1;11;0;4200;406;56;0;337;52;0;51;37;0;0;0
1;12;0;11212;400;56;1;330;52;0;52;37;0;1;0
2;1;503749;4200;504;57;0;433;53;0;65;37;0;0;0
2;2;0;4200;496;57;0;427;53;0;63;38;0;0;0
2;3;0;4200;488;56;0;423;53;0;65;37;0;0;0
2;4;0;4200;477;55;0;424;53;0;65;37;0;0;0
2;5;0;4200;475;55;0;414;52;0;65;37;0;0;0
2;6;0;4200;469;54;0;413;52;0;65;37;0;0;0
2;7;0;4200;460;54;0;415;52;0;64;37;0;0;0
2;8;0;4200;454;53;0;414;52;0;65;37;0;0;0
2;9;0;4200;454;53;0;410;51;0;65;37;0;0;0
2;10;0;4200;454;53;0;409;51;0;65;37;0;0;0
2;11;0;4200;452;53;0;410;51;0;65;37;0;0;0
2;12;0;4200;451;53;0;407;51;0;64;37;0;0;0
3;1;503142;24350;488;55;0;438;53;0;68;39;1;1;0
3;2;0;4200;484;54;0;439;53;0;67;38;0;0;0
3;3;0;4200;476;54;0;438;53;0;66;38;0;0;0
3;4;0;4200;472;54;0;435;52;0;65;37;0;0;0
3;5;0;4200;471;53;0;432;52;0;67;37;0;0;0
3;6;0;24275;469;53;0;429;52;1;67;37;0;1;0
3;7;0;4200;469;53;0;426;51;0;67;37;0;0;0
3;8;0;4200;462;53;0;428;52;0;67;37;0;0;0
3;9;0;4200;463;53;0;425;51;0;67;37;0;0;0
3;10;0;4200;461;53;0;424;51;0;67;37;0;0;0
3;11;0;4200;460;53;0;423;51;0;67;37;0;0;0
3;12;0;4200;460;52;0;421;51;0;67;37;0;0;0
4;1;507616;4200;486;54;0;446;52;0;68;38;0;0;0
4;2;0;17785;485;54;0;442;52;1;68;38;0;0;1
4;3;0;4200;480;54;0;440;52;0;67;39;0;0;0
4;4;0;4200;477;54;0;437;51;0;67;38;0;0;0
4;5;0;4200;476;53;0;436;51;0;68;38;0;0;0
4;6;0;4200;476;53;0;433;51;0;67;39;0;0;0
4;7;0;4200;470;53;0;434;51;0;68;38;0;0;0
4;8;0;4200;470;53;0;431;51;0;68;38;0;0;0
4;9;0;4200;468;53;0;432;51;0;68;38;0;0;0
4;10;0;4200;469;53;0;429;51;0;68;38;0;0;0
4;11;0;11883;467;53;0;430;51;0;68;38;1;1;0
4;12;0;4200;466;52;0;431;51;0;68;38;0;0;0
5;1;505424;4200;480;54;0;449;52;0;67;40;0;0;0
5;2;0;45491;480;54;0;446;52;1;68;39;0;1;0
5;3;0;4200;480;54;0;446;52;0;67;39;0;0;0
5;4;0;4200;478;54;0;445;52;0;67;39;0;0;0
5;5;0;4200;474;54;0;445;52;0;67;39;0;0;0
