Rok;Miesi¹c;Zarobki;Wydatki;Liczba osób_<500;Œredni wiek_<500;Liczba wypadków_<500;Liczba osób_500-700;Œredni wiek_500-700;Liczba wypadków_500-700;Liczba osób_>700;Œredni wiek_>700;Liczba wypadków_>700;Liczba wypadków mê¿czyzn;Liczba wypadków kobiet
1;1;581621022;6898309;269067;64;39;431963;60;66;267951;56;45;63;87
1;2;0;6484849;260414;63;40;419969;59;66;261708;55;35;74;67
1;3;0;6863488;252862;62;38;409627;58;66;255899;54;46;72;78
1;4;0;6295615;246075;61;33;400259;57;66;251291;53;34;59;74
1;5;0;6529462;240206;60;33;392224;57;70;247025;53;32;74;61
1;6;0;6864031;235107;60;38;385133;56;71;243373;52;43;73;79
1;7;0;6363994;230667;59;32;378908;55;65;240048;51;32;71;58
1;8;0;6487084;226722;59;45;373424;55;56;237098;51;39;64;76
1;9;0;6646838;223341;58;31;368530;54;61;234610;50;41;64;69
1;10;0;6040432;220150;57;26;364311;54;49;232582;50;29;52;52
1;11;0;6719085;217559;57;35;360350;53;64;230635;50;40;71;68
1;12;0;6205556;215131;57;22;357247;53;64;228925;49;30;66;50
2;1;589908931;6724238;263661;59;37;435041;55;67;278184;51;41;68;77
2;2;0;7073166;259656;58;37;429613;54;68;275322;51;47;80;72
2;3;0;7037500;256298;58;37;424872;54;69;272841;50;46;87;65
2;4;0;6952497;253178;57;37;420863;53;78;270719;50;45;86;74
2;5;0;6538058;250590;57;33;417282;53;64;268782;49;43;70;70
2;6;0;6776139;248280;56;39;414202;53;60;267098;49;48;79;68
2;7;0;6621426;246297;56;35;411335;52;58;265668;49;45;64;74
2;8;0;6855129;244488;56;32;409052;52;66;264275;49;44;64;78
2;9;0;6856324;242895;55;35;406788;52;81;263241;48;43;83;76
2;10;0;6839499;241570;55;33;404919;52;69;262263;48;40;70;72
2;11;0;6640158;240335;55;41;403268;51;76;261392;48;32;71;78
2;12;0;7179411;239221;55;47;401814;51;73;260700;48;46;81;85
3;1;595076365;6951209;261570;56;38;437649;53;86;283496;49;38;90;72
3;2;0;7024401;259296;56;40;434629;53;65;281922;49;45;77;73
3;3;0;7009977;257374;56;39;431828;52;59;280529;49;55;79;74
3;4;0;7036036;255756;56;40;429537;52;57;279323;49;56;81;72
3;5;0;6749166;254303;55;34;427596;52;54;278313;49;52;66;74
3;6;0;6807341;253103;55;30;425942;52;63;277333;48;49;75;67
3;7;0;6629922;251971;55;33;424385;52;61;276508;48;50;71;73
3;8;0;7021222;251076;55;42;423117;51;77;275790;48;48;81;86
3;9;0;6642058;250268;55;33;421967;51;63;275203;48;47;74;69
3;10;0;7181332;249492;55;49;421008;51;71;274641;48;47;88;79
3;11;0;7292964;248858;55;44;420148;51;68;274193;48;59;82;89
3;12;0;6391044;248294;55;30;419387;51;75;273824;48;31;62;74
4;1;598556864;6928630;261067;56;48;439491;52;63;286521;49;45;82;74
4;2;0;7091839;259439;56;47;437384;52;70;285383;49;48;72;93
4;3;0;6921017;258106;55;37;435579;52;72;284441;49;48;86;71
4;4;0;7291158;256957;55;39;434080;52;76;283624;49;55;78;92
4;5;0;6349924;256035;55;41;432760;52;74;282882;49;25;64;76
4;6;0;6501795;255245;55;35;431529;52;61;282270;48;39;67;68
4;7;0;6831074;254464;55;35;430586;52;72;281699;48;45;69;83
4;8;0;7214441;253872;55;41;429738;51;82;281181;48;55;91;87
4;9;0;6754883;253248;55;41;428966;51;61;280840;48;50;74;78
4;10;0;6867079;252796;55;36;428346;51;66;280425;48;49;66;85
4;11;0;6569284;252387;55;41;427748;51;62;280128;48;40;72;71
4;12;0;6467352;252023;55;36;427282;51;64;279821;48;37;77;60
5;1;598171187;6855891;259330;56;29;438762;52;72;287338;49;45;74;72
5;2;0;7048605;258101;56;29;437017;52;64;286452;49;60;84;69
5;3;0;6841955;257070;56;39;435579;52;66;285585;49;45;84;66
5;4;0;7132241;256128;55;42;434353;52;69;285015;49;54;84;81
5;5;0;7132601;255411;55;42;433258;52;74;284372;49;57;97;76
5;6;0;6846122;254748;55;37;432385;52;69;283953;49;52;91;67
5;7;0;7310879;254172;55;38;431579;52;79;283606;49;56;88;85
5;8;0;7738112;253705;55;46;430918;52;79;283242;49;68;83;110
5;9;0;6165521;253331;55;43;430354;52;47;282945;49;37;59;68
5;10;0;7328558;252940;55;33;429901;52;77;282653;48;56;87;79
5;11;0;6979411;252686;55;36;429465;52;56;282448;48;52;91;53
5;12;0;6365344;252418;55;35;429102;51;56;282278;48;35;66;60
6;1;598220628;6636399;258415;56;36;438262;53;66;288098;50;43;78;67
6;2;0;7266175;257321;56;34;436789;53;65;287317;49;61;89;71
6;3;0;6810502;256485;56;41;435438;52;60;286579;49;51;72;80
